name	taxID	genomeSize	numReads	numUniqueReads	abundance
Vibrio nigripulchritudo	28173	6322155	1	1	0
Clavibacter michiganensis	28447	3317670	1	1	0
Burkholderia pseudomallei	28450	7728704	1	1	0
Leptospira alstonii	28452	4591888	1	1	0
Moraxella ovis	29433	2306095	1	1	0
Amycolatopsis orientalis	31958	8982090	1	0	0
Achromobacter denitrificans	32002	6226215	1	1	0
Clavibacter michiganensis subsp. insidiosus	33014	3408062	1	1	0
Amycolatopsis mediterranei	33910	13655759	1	0	0
Bovine herpesvirus 5	35244	137821	1	0	0
Lambdapapillomavirus 2	35258	8607	1	1	0
Streptomyces pristinaespiralis	38300	8532592	1	1	0
Ureaplasma parvum serovar 3	38504	727289	1	1	0
Dialister pneumosintes	39950	1274073	1	1	0
Mycoplasma mycoides subsp. capri	40477	1085764	1	0	0
Thioploca ingrica	40754	4810005	1	1	0
Methanococcus aeolicus	42879	1569500	1	0	0
Kutzneria albida	43357	9874926	1	0	0
Vibrio scophthalmi	45658	9728927	1	1	0
Sphingobium chlorophenolicum	46429	4573221	1	0	0
Streptomyces lydicus	47763	9300149	1	0	0
Pseudomonas corrugata	47879	6124363	1	1	0
Pseudomonas citronellolis	53408	14631203	1	1	0
Nocardiopsis alba	53437	5848211	1	0	0
Raoultella ornithinolytica	54291	5398151	1	0	0
Oscillatoria acuminata PCC 6304	56110	7804270	1	0	0
Burkholderia thailandensis	57975	6739614	1	1	0
Paenibacillus peoriae	59893	6219815	1	0	0
Cyanobium gracile	59930	3342364	1	0	0
Kluyvera intermedia	61648	6166452	1	1	0
Acinetobacter sp. ADP1	62977	3598621	1	1	0
Zobellia galactanivorans	63186	5521712	1	1	0
Nostoc punctiforme PCC 73102	63737	9059191	1	1	0
Halothece sp. PCC 7418	65093	4179170	1	1	0
Streptomyces griseochromogenes	68214	10764674	1	1	0
Pseudomonas sp. VLB120	69328	5966222	1	1	0
Pyrococcus horikoshii OT3	70601	1738505	1	1	0
Klebsiella pneumoniae subsp. pneumoniae	72407	76960750	1	0	0
Prochlorococcus marinus str. MIT 9313	74547	2410873	1	1	0
Delftia acidovorans	80866	6767514	1	0	0
Aminobacter aminovorans	83263	6890726	1	0	0
Leclercia adecarboxylata	83655	4803917	1	0	0
Bosea	85413	0	1	0	0
Achromobacter xylosoxidans	85698	6745103	1	1	0
endosymbiont of Acanthamoeba sp. UWC8	86106	1615277	1	0	0
Pseudomonas chlororaphis subsp. aurantiaca	86192	6702062	1	0	0
Candidatus Paracaedibacter acanthamoebae	91604	2485110	1	1	0
Streptomyces coelicolor A3(2)	100226	9054847	1	1	0
Streptococcus infantarius	102684	2008249	1	0	0
Nostoc sp. PCC 7120	103690	7211789	1	1	0
Stanieria cyanosphaera PCC 7437	111780	5544990	1	1	0
Thermofilaceae	114378	1783791	1	0	0
Desulfurococcales	114380	1469569	1	0	0
Bradyrhizobium sp. ORS 278	114615	7456587	1	0	0
Sulfolobaceae	118883	2475668	1	0	0
Pseudarthrobacter sulfonivorans	121292	5056151	1	1	0
Pannonibacter phragmitetus	121719	5669701	1	0	0
Aerococcus urinaehominis	128944	1831400	1	1	0
Chromatiales	135613	3510274	1	0	0
Streptomyces parvulus	146923	7766531	1	0	0
Vibrio antiquarius	150340	5089025	1	0	0
Kozakia baliensis	153496	6599181	1	1	0
Methanothermococcus okinawensis	155863	1677455	1	0	0
Sphaerochaeta globosa str. Buddy	158189	3316466	1	1	0
Paenibacillus naphthalenovorans	162209	5200139	1	1	0
Mycobacterium sp. MCS	164756	5920523	1	0	0
Desulfotalea psychrophila LSv54	177439	3659634	1	1	0
Alicycliphilus denitrificans	179636	4953232	1	0	0
Corallococcus coralloides	184914	10080619	1	0	0
Clostridiales	186802	4134178	1	0	0
Pedobacter cryoconitis	188932	5950539	1	1	0
Paenibacillus odorifer	189426	6812473	1	0	0
Mycobacterium sp. KMS	189918	6256079	1	0	0
Methanocaldococcus	196118	1584277	1	0	0
Corynebacterium efficiens YS-314	196164	3219505	1	1	0
Pseudomonas koreensis	198620	12292986	1	1	0
Sulfurihydrogenibium azorense Az-Fu1	204536	1640877	1	1	0
Candidatus Koribacter versatilis Ellin345	204669	5650368	1	1	0
Ehrlichia chaffeensis str. Arkansas	205920	1176248	1	1	0
Escherichia albertii	208962	4701875	1	1	0
Acanthamoeba polyphaga mimivirus	212035	1181549	1	1	0
Clostridium tetani E88	212717	2873333	1	0	0
Mycobacterium marinum M	216594	6660144	1	0	0
Stenotrophomonas rhizophila	216778	4198652	1	0	0
Shewanella piezotolerans WP3	225849	5396476	1	1	0
Streptomyces avermitilis MA-4680 = NBRC 14893	227882	9119895	1	0	0
Acidovorax sp. JS42	232721	4585154	1	1	0
Pseudomonas alkylphenolia	237609	5764622	1	0	0
Methylococcus capsulatus str. Bath	243233	3304561	1	1	0
Chromobacterium violaceum ATCC 12472	243365	4751080	1	1	0
Staphylococcus equorum	246432	8544915	1	0	0
Nocardia farcinica IFM 10152	247156	6292344	1	1	0
Phaeocystis globosa virus	251749	459984	1	0	0
Caldisphaeraceae	255472	1546846	1	0	0
Haemophilus influenzae R2846	262727	1819370	1	0	0
Haemophilus influenzae R2866	262728	1932306	1	0	0
Ralstonia eutropha JMP134	264198	7255290	1	1	0
Streptomyces hygroscopicus subsp. limoneus	264445	10537932	1	0	0
Rubrobacter xylanophilus DSM 9941	266117	3225748	1	0	0
Sinorhizobium meliloti 1021	266834	6691694	1	0	0
Kineococcus radiotolerans SRS30216 = ATCC BAA-149	266940	4956672	1	1	0
Ralstonia solanacearum GMI1000	267608	5810922	1	0	0
Methanosarcina barkeri str. Fusaro	269797	4873766	1	0	0
Burkholderia thailandensis E264	271848	6723972	1	0	0
Rhodobacter capsulatus SB 1003	272942	3871920	1	0	0
Staphylococcus aureus RF122	273036	2742531	1	1	0
Sulfolobus tokodaii str. 7	273063	2694756	1	1	0
Streptomyces ambofaciens ATCC 23877	278992	8393598	1	0	0
Novosphingobium aromaticivorans DSM 12444	279238	4233314	1	0	0
Leifsonia xyli subsp. xyli str. CTCB07	281090	2584158	1	0	0
Bartonella quintana str. Toulouse	283165	1581384	1	0	0
Staphylococcus pseudintermedius	283734	2594798	1	0	0
Alcanivorax dieselolei	285091	4928223	1	0	0
Streptomyces rubrolavendulae	285473	6543262	1	0	0
Citrobacter koseri ATCC BAA-895	290338	4735357	1	0	0
Thiobacillus denitrificans ATCC 25259	292415	2909809	1	0	0
Flavonifractor plautii	292800	3818500	1	0	0
Polaromonas sp. JS666	296591	5898676	1	1	0
Frankia sp. EAN1pec	298653	8982042	1	0	0
Enterobacter hormaechei subsp. steigerwaltii	299766	15295247	1	1	0
Shigella dysenteriae Sd197	300267	4560911	1	0	0
Corynebacterium jeikeium K411	306537	2476822	1	0	0
Parvularcula bermudensis HTCC2503	314260	2902643	1	1	0
Sideroxydans	314343	3003656	1	0	0
Streptococcus gallolyticus	315405	2363453	1	1	0
Aliivibrio salmonicida LFI1238	316275	4655660	1	1	0
Shewanella denitrificans OS217	318161	4545906	1	1	0
Shewanella frigidimarina NCIMB 400	318167	4845257	1	1	0
Sulfurimonas denitrificans DSM 1251	326298	2201561	1	0	0
Marinobacter psychrophilus	330734	3998597	1	0	0
Lactobacillus fermentum IFO 3956	334390	2098685	1	0	0
Vibrio campbellii ATCC BAA-1116	338187	12090206	1	1	0
Nitrosopumilaceae	338190	0	1	0	0
Nitrosopumilus	338191	0	1	0	0
Pelobacter propionicus DSM 2379	338966	4241119	1	0	0
Burkholderia ambifaria AMMD	339670	15057145	1	1	0
Pyrococcus sp. NA2	342949	1861320	1	1	0
Mycoplasma hominis ATCC 23114	347256	665445	1	0	0
Acidiphilium cryptum JF-5	349163	3963080	1	0	0
Paenibacillus polymyxa E681	349520	5394883	1	0	0
Hahella chejuensis KCTC 2396	349521	7215267	1	0	0
Alkaliphilus oremlandii OhILAs	350688	3123558	1	1	0
Burkholderia dolosa AU0158	350701	6409095	1	0	0
Geobacter uraniireducens Rf4	351605	5136364	1	0	0
Roseiflexus sp. RS-1	357808	5801598	1	1	0
Campylobacter jejuni subsp. doylei 269.97	360109	1845106	1	0	0
Streptomyces vietnamensis	362257	9153777	1	0	0
Lactobacillus salivarius UCC118	362948	2133977	1	0	0
Choristoneura occidentalis granulovirus	364745	104710	1	1	0
Sinorhizobium medicae WSM419	366394	6817576	1	1	0
Sulfurospirillum cavolei	366522	2698323	1	1	0
Yersinia similis	367190	4964409	1	1	0
Arcobacter butzleri RM4018	367737	2341251	1	1	0
Cupriavidus sp. USMAA1020	367825	7949449	1	0	0
Halothermothrix orenii H 168	373903	2578146	1	1	0
Kocuria rhizophila DC2201	378753	2697540	1	0	0
Pseudomonas entomophila L48	384676	5888780	1	0	0
Granulibacter bethesdensis CGDNIH1	391165	2708355	1	0	0
Verminephrobacter eiseniae EF01-2	391735	5597943	1	0	0
Sphingomonas wittichii RW1	392499	5915246	1	0	0
Rhizobium leguminosarum bv. trifolii WSM1325	395491	7418122	1	1	0
Beijerinckia indica subsp. indica ATCC 9039	395963	4418616	1	1	0
Methylocella silvestris BL2	395965	4305430	1	1	0
Acidovorax citrulli AAC00-1	397945	5352772	1	1	0
Geobacter lovleyi SZ	398767	3994874	1	1	0
Enterobacter sp. 638	399742	4676461	1	1	0
Terriglobus saanensis SP1PR4	401053	5095226	1	1	0
Flavobacterium psychrophilum JIP02/86	402612	2860382	1	0	0
Salinicoccus halodurans	407035	2778379	1	1	0
Shewanella baltica OS223	407976	5358884	1	1	0
Microterricola viridarii	412690	3689726	1	0	0
Clostridium botulinum A str. ATCC 3502	413999	3903260	1	0	0
Planococcus donghaensis	414778	3319331	1	1	0
Burkholderia sp. KJ006	416344	6629912	1	0	0
Pseudothermotoga lettingae TMO	416591	2135342	1	0	0
Desulfurivibrio alkaliphilus	427923	3097763	1	0	0
Ralstonia pickettii 12D	428406	5685358	1	0	0
Pedobacter steynii	430522	6581659	1	1	0
Clostridium kluyveri DSM 555	431943	4023800	1	0	0
Bacteroides vulgatus ATCC 8482	435590	5163189	1	0	0
Azorhizobium caulinodans ORS 571	438753	5369772	1	1	0
Methylobacterium extorquens CM4	440085	6180732	1	0	0
Methylobacterium populi BJ001	441620	5848997	1	0	0
Clostridium botulinum A str. ATCC 19397	441770	3863450	1	0	0
Clostridium botulinum A str. Hall	441771	3760560	1	0	0
Clostridium botulinum F str. Langeland	441772	4012918	1	0	0
Geobacter sp. M18	443143	5277406	1	1	0
Prochlorococcus phage P-RSM4	444862	176428	1	1	0
Sus scrofa papillomavirus 1	446138	7260	1	1	0
Stackebrandtia nassauensis DSM 44728	446470	6841557	1	0	0
Sorangium cellulosum So ce56	448385	13033779	1	1	0
Sphingobium japonicum UT26S	452662	4424862	1	0	0
Anaeromyxobacter dehalogenans 2CP-1	455488	5029329	1	0	0
Thermus parvatiensis	456163	2016098	1	0	0
Streptomyces albus J1074	457425	6841649	1	0	0
Streptomyces lividans TK24	457428	8345283	1	1	0
Mycobacterium liflandii 128FXT	459424	6399543	1	0	0
Saccharomonospora viridis DSM 43017	471857	4308349	1	1	0
Altererythrobacter ishigakiensis	476157	2673978	1	1	0
Modestobacter marinus	477641	5575517	1	1	0
Candidatus Desulforudis audaxviator MP104C	477974	2349476	1	1	0
Nakamurella multipartita DSM 44233	479431	6060298	1	1	0
Kribbella flavida DSM 17836	479435	7579488	1	0	0
Sphingobium sp. YBL2	484429	5427419	1	0	0
Mycobacterium intracellulare ATCC 13950	487521	5402402	1	0	0
Xanthomonas translucens pv. undulosa	487909	4561137	1	0	0
Serratia sp. SCBI	488142	5101896	1	0	0
Marinobacter sp. BSs20148	490759	4063864	1	0	0
Clostridium botulinum B1 str. Okra	498213	4107013	1	0	0
Clostridium botulinum A3 str. Loch Maree	498214	4259691	1	0	0
Haliangium ochraceum DSM 14365	502025	9446314	1	0	0
Meiothermus ruber DSM 1279	504728	3097457	1	1	0
Halomonas chromatireducens	507626	3973651	1	0	0
Caulobacter segnis ATCC 21756	509190	4655622	1	1	0
Oceanimonas sp. GK1	511062	3527244	1	1	0
Tsukamurella paurometabola DSM 20162	521096	4479724	1	0	0
Methanosarcina thermophila TM-1	523844	3127379	1	1	0
Thermococcus onnurineus NA1	523850	1847607	1	1	0
Desulfovibrio desulfuricans subsp. desulfuricans str. ATCC 27774	525146	2873437	1	1	0
Anaerococcus prevotii DSM 20548	525919	1998633	1	1	0
Geodermatophilus obscurus DSM 43160	526225	5322497	1	0	0
Gordonia bronchialis DSM 43247	526226	5290012	1	1	0
Bacillus cereus ATCC 4342	526977	5306298	1	1	0
Pirellula staleyi DSM 6068	530564	6196199	1	1	0
Variovorax paradoxus S110	543728	6754997	1	0	0
Selenomonas sputigena ATCC 35185	546271	2568361	1	1	0
Ferrimonas balearica DSM 9799	550540	4279159	1	0	0
Achromobacter xylosoxidans C54	562971	6131060	1	1	0
Arcobacter nitrofigilis DSM 7299	572480	3192235	1	1	0
Ilyobacter polytropus DSM 2926	572544	3132314	1	1	0
Aminobacterium colombiense DSM 12261	572547	1980592	1	0	0
Isosphaera pallida ATCC 43644	575540	5529304	1	1	0
Prevotella sp. oral taxon 299 str. F0039	575614	2480269	1	1	0
Sideroxydans lithotrophicus ES-1	580332	3003656	1	1	0
Geobacillus sp. Y4.1MC1	581103	3911947	1	0	0
Thermococcus paralvinellae	582419	1957742	1	1	0
Clostridium kluyveri NBRC 12016	583346	3955303	1	0	0
Helicobacter pylori 35A	585535	1566655	1	0	0
Helicobacter pylori 83	585538	1617426	1	0	0
Thermotoga naphthophila RKU-10	590168	1809823	1	1	0
Streptomyces pratensis ATCC 33331	591167	7656104	1	1	0
Helicobacter pylori B38	592205	1576758	1	0	0
Pantoea sp. At-9b	592316	6312783	1	1	0
Thermococcus gammatolerans EJ3	593117	2045438	1	1	0
Cellulomonas gilvus ATCC 13127	593907	3526441	1	0	0
Burkholderia glumae PG1	595500	7896538	1	0	0
Alicycliphilus denitrificans BC	596153	4835713	1	0	0
Alicycliphilus denitrificans K601	596154	5070751	1	0	0
Rhodococcus opacus B4	632772	8834939	1	0	0
Bacillus beveridgei	632773	3582268	1	1	0
Geobacillus thermoglucosidasius C56-YS93	634956	3993793	1	0	0
Shewanella violacea DSS12	637905	4962103	1	1	0
Streptococcus gallolyticus UCN34	637909	2350911	1	0	0
Starkeya novella DSM 506	639283	4765023	1	1	0
Klebsiella variicola At-22	640131	5458505	1	0	0
Clostridium lentocellum DSM 5427	642492	4714237	1	0	0
Acidovorax avenae subsp. avenae ATCC 19860	643561	5482170	1	1	0
Marivirga tractuosa DSM 4126	643867	4516490	1	1	0
Thermovibrio ammonificans HB-1	648996	1759526	1	1	0
Micromonospora sp. L5	648999	6962533	1	0	0
Streptomyces violaceusniger Tu 4113	653045	11138313	1	0	0
Zunongwangia profunda SM-A87	655815	5128187	1	1	0
Pandoraea faecigallinarum	656179	5732664	1	1	0
Halanaerobium hydrogeniformans	656519	2613117	1	1	0
Francisella noatunensis	657445	2600397	1	1	0
Fimbriimonas ginsengisoli Gsoil 348	661478	5231762	1	1	0
Corynebacterium resistens DSM 45100	662755	2601311	1	0	0
Bacillus sp. 1NLA3E	666686	4815602	1	1	0
Bacteroides salanitronis DSM 18170	667015	4308663	1	1	0
Pseudonocardia dioxanivorans CB1190	675635	7303989	1	0	0
Rhodococcus sp. WMMA185	679318	4444448	1	0	0
Methanolacinia petrolearia DSM 11571	679926	2843290	1	1	0
Lactococcus lactis subsp. lactis KF147	684738	2635654	1	1	0
Comamonas testosteroni CNB-2	688245	5373644	1	0	0
Cellulophaga algicola DSM 14237	688270	4888353	1	1	0
Sphingobium chlorophenolicum L-1	690566	4573221	1	0	0
Mahella australiensis 50-1 BON	697281	3135972	1	1	0
Sinorhizobium meliloti BL225C	698936	6978785	1	0	0
Coriobacterium glomerans PW2	700015	2115681	1	0	0
Mycobacterium neoaurum VKM Ac-1815D	700508	5421267	1	0	0
Niastella koreensis GR20-10	700598	9033684	1	1	0
Corynebacterium sp. NML98-0116	702967	2365449	1	0	0
Phocoena phocoena papillomavirus 4	706527	7348	1	1	0
Mycobacterium chubuense NBB4	710421	6342624	1	1	0
Lactobacillus fermentum CECT 5716	712938	2100449	1	0	0
Lactobacillus salivarius CECT 5713	712961	2136138	1	0	0
Alteromonas naphthalenivorans	715451	4972148	1	1	0
Enterobacter cloacae subsp. cloacae ATCC 13047	716541	5598796	1	0	0
Flexistipes sinusarabici DSM 4947	717231	2526590	1	1	0
Pseudoxanthomonas suwonensis 11-1	743721	3419049	1	1	0
Treponema caldarium DSM 7334	744872	3239340	1	1	0
Sphingomonas sp. MM-1	745310	4633613	1	0	0
Pseudogulbenkiania sp. NH8B	748280	4332995	1	1	0
Clostridium ljungdahlii DSM 13528	748727	4630065	1	0	0
Nitratifractor salsuginis DSM 16511	749222	2101285	1	1	0
Streptomyces bingchenggensis BCW-1	749414	11936683	1	1	0
Paraburkholderia sprentiae WSM5005	754502	7829542	1	0	0
Rubinisphaera brasiliensis DSM 5305	756272	6006602	1	1	0
Herbaspirillum seropedicae SmR1	757424	5513887	1	0	0
Clostridium botulinum F str. 230613	758678	4010614	1	0	0
Brachyspira pilosicoli 95/1000	759914	2586443	1	1	0
Hippea maritima DSM 10411	760142	1694430	1	0	0
Lactobacillus fermentum F-6	767453	2064620	1	0	0
Desulfosporosinus meridiei DSM 13257	768704	4873567	1	1	0
Thermodesulfobacterium geofontis OPF15	795359	1634377	1	1	0
Methanosarcina barkeri CM1	796385	4501171	1	0	0
Thermus thermophilus JL-18	798128	2311212	1	0	0
Capnocytophaga canimorsus Cc5	860228	2571406	1	1	0
Azospirillum lipoferum 4B	862719	6846400	1	0	0
Halobacteriovorax marinus SJ	862908	3437906	1	1	0
Parascardovia denticolens DSM 10105 = JCM 12538	864564	1890857	1	0	0
Haemophilus influenzae F3031	866630	1985832	1	0	0
Dehalobacter restrictus DSM 9455	871738	2943336	1	0	0
Desulfitobacterium dichloroeliminans LMG P-21439	871963	3624449	1	1	0
Mycobacterium sinense	875328	4643668	1	1	0
Peptoniphilus sp. 1-1	875453	1601846	1	1	0
Chryseobacterium sp. StRB126	878220	5503743	1	1	0
Paraburkholderia rhizoxinica HKI 454	882378	3750138	1	1	0
Paenibacillus polymyxa SC2	886882	6238510	1	0	0
Anaerobaculum mobile DSM 13181	891968	2160700	1	1	0
Treponema brennaborense DSM 12168	906968	3055580	1	1	0
Human papillomavirus type 131	909330	7182	1	1	0
Kangiella geojedonensis	914150	2495242	1	1	0
Erwinia phage phiEt88	925984	47279	1	1	0
Acidiphilium multivorum AIU301	926570	4214744	1	0	0
Solitalea canadensis DSM 3403	929556	5202069	1	1	0
Rhodococcus sp. p52	935199	5413283	1	0	0
Mesorhizobium loti NZP2037	935546	7481739	1	1	0
Streptococcus gallolyticus subsp. gallolyticus ATCC 43143	981539	2362241	1	0	0
Paenibacillus terrae HPL-003	985665	6083395	1	1	0
Staphylococcus agnetis	985762	2503399	1	0	0
Streptococcus gallolyticus subsp. gallolyticus ATCC BAA-2069	990317	2377209	1	0	0
Polymorphum gilvum SL003B-26A1	991905	4718963	1	1	0
Bacteroides dorei CL03T12C01	997877	5310365	1	0	0
Aeromonas veronii B565	998088	4551783	1	0	0
Streptomyces cattleya NRRL 8057 = DSM 46488	1003195	16188068	1	0	0
Buchnera aphidicola str. Ak (Acyrthosiphon kondoi)	1005090	653223	1	1	0
Lactobacillus ginsenosidimutans	1007676	2590556	1	0	0
Pseudomonas sp. StFLB209	1028989	6332373	1	1	0
Lactobacillus kefiranofaciens ZW3	1033837	2354088	1	1	0
Flavobacterium branchiophilum FL-15	1034807	3563292	1	1	0
Bradyrhizobium japonicum USDA 6	1037409	9207384	1	0	0
Brevibacillus laterosporus LMG 15441	1042163	5153859	1	1	0
Pseudomonas putida S16	1042876	5984790	1	0	0
Thermococcus sp. 4557	1042877	2011320	1	1	0
Pseudoxanthomonas spadix BD-a59	1045855	3452554	1	1	0
Granulibacter bethesdensis CGDNIH2	1051974	2736589	1	0	0
Granulibacter bethesdensis CGDNIH3	1052004	2711143	1	0	0
Granulibacter bethesdensis CGDNIH4	1052095	2715337	1	0	0
Paenibacillus polymyxa M1	1052684	6231122	1	0	0
Streptococcus infantarius subsp. infantarius CJ18	1069533	2008249	1	0	0
Corynebacterium uterequi	1072256	2419437	1	1	0
Cronobacter condimenti 1330	1073999	4499482	1	1	0
Lactobacillus heilongjiangensis	1074467	2790548	1	0	0
Streptococcus lutetiensis 033	1076934	1975547	1	0	0
Francisella hispaniensis FSC454	1088883	1938636	1	1	0
Propionibacterium acnes subsp. defendens ATCC 11828	1091045	2488626	1	0	0
Clavibacter michiganensis subsp. nebraskensis NCPPB 2581	1097677	3063596	1	0	0
Enterobacter cloacae subsp. dissolvens SDM	1104326	4968248	1	0	0
Tistrella mobilis KA081020-065	1110502	6512983	1	1	0
Streptococcus macedonicus ACA-DC 198	1116231	2142762	1	1	0
Pseudothermotoga elfii DSM 9442 = NBRC 107921	1123383	2169860	1	0	0
Pseudothermotoga hypogea DSM 11164 = NBRC 106472	1123384	4330581	1	1	0
Pseudomonas stutzeri DSM 10701	1123519	4174118	1	1	0
Leptotrichiaceae	1129771	2875180	1	0	0
Mycobacterium marinum E11	1131442	6450522	1	0	0
Dehalobacter sp. CF	1131462	3092048	1	0	0
Nocardia brasiliensis ATCC 700358	1133849	9436348	1	1	0
Streptomyces hygroscopicus subsp. jinggangensis 5008	1133850	10383684	1	0	0
Corallococcus coralloides DSM 2259	1144275	10080619	1	0	0
Blastococcus saxobsidens DD2	1146883	4875340	1	1	0
Dehalobacter sp. DCA	1147129	3069953	1	0	0
Pseudomonas mandelii JR-1	1147786	7188564	1	0	0
Sulfurospirillum multivorans DSM 12446	1150621	3175729	1	1	0
Mycoplasma gallisepticum NC96_1596-4-2P	1159199	986257	1	0	0
Cronobacter muytjensii ATCC 51329	1159613	4364114	1	0	0
Leptospirillum ferrooxidans C2-3	1162668	2559538	1	1	0
Desulfocapsa sulfexigens DSM 10523	1167006	4023512	1	1	0
Sphingomonas sp. NIC1	1167641	3660563	1	0	0
Acidipropionibacterium acidipropionici ATCC 4875	1171373	3656170	1	0	0
Microcoleus sp. PCC 7113	1173027	7966510	1	1	0
Salmonella phage FSL SP-058	1173761	72394	1	0	0
Salmonella phage FSL SP-076	1173762	72098	1	0	0
Niabella ginsenosidivorans	1176587	5627734	1	1	0
Deinococcus swuensis	1182571	3531443	1	0	0
Candidatus Endolissoclinum faulkneri L2	1193729	1481191	1	1	0
Corynebacterium terpenotabidum Y-11	1200352	2751233	1	0	0
Streptomyces hygroscopicus subsp. jinggangensis TL01	1203460	10077952	1	0	0
Nocardiopsis alba ATCC BAA-2165	1205910	5848211	1	0	0
Klebsiella phage 0507-KN2-1	1206545	159991	1	1	0
Aeromonas media WS	1208104	4788430	1	0	0
Bordetella bronchiseptica MO149	1208658	5091817	1	1	0
Vibrio parahaemolyticus BB22OP	1211705	5103524	1	1	0
Dyella japonica A8	1217721	4831185	1	0	0
Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759	1219067	5168686	1	1	0
Pseudomonas fluorescens NCIMB 11764	1221522	6998154	1	1	0
Bartonella quintana RM-11	1225179	1587646	1	0	0
Hymenobacter swuensis DY53	1227739	5252070	1	0	0
Staphylococcus aureus 08BA02176	1229492	2782313	1	1	0
Equus ferus caballus papillomavirus type 7	1235430	7619	1	1	0
Burkholderia thailandensis 2002721723	1241582	6577133	1	0	0
Bradyrhizobium oligotrophicum S58	1245469	8264165	1	0	0
Burkholderia thailandensis E254	1249665	6676730	1	0	0
Burkholderia thailandensis MSMB59	1250339	6739500	1	0	0
Flammeovirgaceae bacterium 311	1257021	6665617	1	1	0
Pseudomonas sp. FGI182	1259844	5891312	1	0	0
Xanthomonas translucens pv. translucens DSM 18974	1261556	4715357	1	0	0
Herbaspirillum hiltneri N3	1262470	4965474	1	0	0
Mycoplasma hominis ATCC 27545	1267000	715165	1	0	0
Cupriavidus gilardii CR3	1267562	5578743	1	0	0
Corynebacterium urealyticum DSM 7111	1267754	2316065	1	0	0
Bradyrhizobium icense	1274631	8322773	1	1	0
Spiroplasma chrysopicola DF-1	1276227	1123322	1	0	0
Spiroplasma sabaudiense Ar-1343	1276257	1075953	1	1	0
Myxococcus stipitatus DSM 14675	1278073	10350586	1	1	0
Pseudomonas aeruginosa B136-33	1280938	6421010	1	0	0
Pseudomonas poae RE*1-1-14	1282356	5512241	1	1	0
Raoultella ornithinolytica B6	1286170	5398151	1	0	0
Sinorhizobium meliloti 2011	1286640	6693185	1	0	0
Pseudomonas denitrificans ATCC 13867	1294143	5696307	1	1	0
Intestinimonas butyriciproducens	1297617	3376475	1	0	0
Mycobacterium intracellulare 1956	1299331	5183048	1	0	0
Enterococcus mundtii QU 25	1300150	3351060	1	1	0
Isoptericola dokdonensis DS-3	1300344	3826972	1	1	0
Nocardioides dokdonensis FR1436	1300347	4376707	1	1	0
Pseudomonas knackmussii B13	1301098	6162905	1	0	0
Methanocaldococcus bathoardescens	1301915	1607556	1	0	0
Streptomyces fulvissimus DSM 40593	1303692	7905758	1	1	0
Mycobacterium tuberculosis EAI5/NITR206	1310115	4390306	1	1	0
Serratia sp. FS14	1327989	5249875	1	0	0
Bacillus bombysepticus str. Wang	1330043	5873592	1	0	0
Myxococcus fulvus 124B02	1334629	11048835	1	1	0
Spiribacter sp. UAH-SP71	1335757	1926631	1	0	0
Calothrix sp. 336/3	1337936	6420126	1	0	0
Geobacter anodireducens	1340425	3666014	1	1	0
Fruit bat alphaherpesvirus 1	1343901	149459	1	1	0
Enterococcus faecium T110	1344042	2737963	1	1	0
Cellulophaga baltica 18	1348584	4635105	1	0	0
Cellulophaga baltica NN016038	1348585	4560540	1	0	0
Castor canadensis papillomavirus 1	1352235	7435	1	1	0
Dyella jiangningensis	1379159	5396991	1	0	0
Lactobacillus fermentum 3872	1381124	2330492	1	0	0
Cupriavidus sp. USMAHM13	1389192	7820821	1	0	0
Comamonas testosteroni TK102	1392005	6062703	1	0	0
Burkholderia cepacia JBK9	1395570	8481212	1	1	0
Corynebacterium glyciniphilum AJ 3170	1404245	3568218	1	0	0
Clostridium baratii str. Sullivan	1415775	3338630	1	1	0
Bacillus velezensis SQR9	1423138	4117023	1	0	0
Ralstonia solanacearum OE1-1	1429399	5762975	1	0	0
Rhizobium etli bv. phaseoli str. IE4803	1432049	6997434	1	0	0
Rhizobium etli bv. mimosae str. IE4771	1432050	7057405	1	0	0
Methanosarcina sp. Kolksee	1434099	4553495	1	0	0
Methanococcoides methylutens MM1	1434104	2394636	1	1	0
Methanosarcina barkeri 227	1434106	4487566	1	0	0
Methanosarcina barkeri 3	1434107	4560446	1	0	0
Methanosarcina barkeri str. Wiesmoor	1434109	4907186	1	1	0
Methanosarcina vacuolata Z-761	1434123	4563885	1	0	0
Pseudomonas monteilii SB3078	1435044	6000087	1	0	0
Trueperella pyogenes TP8	1435056	2272494	1	0	0
Pseudomonas monteilii SB3101	1435058	5945120	1	0	0
Rhodococcus pyridinivorans SB3094	1435356	5590512	1	0	0
Streptomyces leeuwenhoekii	1437453	8122491	1	1	0
Castellaniella defragrans 65Phen	1437824	3952818	1	1	0
Listeria monocytogenes R479a	1437838	3031650	1	1	0
Escherichia albertii KF1	1440052	4701875	1	1	0
Hymenobacter sp. PAMC 26628	1484118	5366977	1	1	0
Sunguru virus	1491491	11056	1	1	0
Bacillus subtilis subsp. globigii	1496303	4175482	1	0	0
Burkholderia territorii	1503055	6902370	1	1	0
Gammapapillomavirus 20	1513265	7233	1	1	0
Planococcus sp. PAMC 21323	1526927	3199864	1	0	0
Lawsonella clevelandensis	1528099	3775705	1	0	0
